idTipoEstablecimiento;anio;trimestre;idPoblacion;genero;de1a4;de5a9;de10a14;de15a19;de20a24;de25a29;de30a34;de35a39;de40a44;de45a49;de50a54;de55a59;de60a64;de65oMas
13;2015;1;2;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;2015;1;3;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23;2015;1;4;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
31;2015;2;1;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3;2015;2;2;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
20;2015;2;3;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
28;2015;2;4;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
13;2015;3;1;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3;2015;3;2;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
29;2015;3;3;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
21;2015;3;4;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
10;2015;4;1;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;2015;4;2;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
13;2015;4;3;H;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
22;2015;4;4;H;0;0;0;0;0;0;791;0;0;0;0;0;0;0
2;2016;1;1;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;2016;1;2;H;0;0;0;0;79;0;0;0;0;0;0;0;0;0
20;2016;1;4;H;115;106;89;240;473;1361;1373;1250;945;609;395;239;201;256
33;2016;2;1;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;2016;3;1;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;2016;4;1;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;2016;4;2;H;0;0;0;8;2;6;0;0;0;0;0;0;0;0
33;2016;4;3;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;2016;4;4;H;3;7;8;8;49;38;64;107;60;41;23;17;14;14
10;2017;1;1;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;2017;1;2;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;2017;1;3;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;2017;1;4;H;2;10;10;67;293;394;536;684;517;822;34;20;133;159
57;2017;2;1;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;2017;2;3;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;2017;2;4;H;3;5;2;59;276;338;480;662;449;804;17;15;118;139
13;2015;1;2;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;2015;1;3;M;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
23;2015;1;4;M;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
31;2015;2;1;M;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3;2015;2;2;M;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
20;2015;2;3;M;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
28;2015;2;4;M;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
13;2015;3;1;M;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3;2015;3;2;M;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
29;2015;3;3;M;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
